pop_size,grid_width,mean_ms_step_mean
4096,64,0.000
16384,128,0.000
36864,192,0.000
65536,256,0.000
102400,320,0.000
147456,384,0.000
200704,448,0.000
262144,512,0.000
331776,576,0.000
409600,640,0.000
495616,704,0.000
589824,768,0.000
692224,832,0.000
802816,896,0.000
921600,960,0.000
1048576,1024,0.000
1183744,1088,0.000
1327104,1152,0.000
1478656,1216,0.000
1638400,1280,0.000
1806336,1344,0.000
1982464,1408,0.000
2166784,1472,0.000
2359296,1536,0.000
2560000,1600,0.000
2768896,1664,0.000
2985984,1728,0.000
3211264,1792,0.000
3444736,1856,0.000
3686400,1920,0.000
3936256,1984,0.000
4194304,2048,0.000
