repetition,grid_width,pop_size,p_occupation,s_step_mean,pop_count_mean
0,256,65536,0.17,0.000411505,6158.32
0,512,262144,0.17,0.000913592,25022.8
0,768,589824,0.17,0.0015435,57078.9
0,1024,1048576,0.17,0.00257556,101629
0,1280,1638400,0.17,0.00354533,159002
0,1536,2359296,0.17,0.00531645,230722
0,1792,3211264,0.17,0.00691291,314442
0,2048,4194304,0.17,0.00867123,409362
0,2304,5308416,0.17,0.011074,518971
0,2560,6553600,0.17,0.0137057,640464
0,2816,7929856,0.17,0.0164229,774681
0,3072,9437184,0.17,0.0192355,922129
0,3328,11075584,0.17,0.0232788,1.08285e+06
0,3584,12845056,0.17,0.0263581,1.25571e+06
0,3840,14745600,0.17,0.030555,1.44259e+06
0,4096,16777216,0.17,0.0337738,1.64187e+06
1,256,65536,0.17,0.000368374,6294.4
1,512,262144,0.17,0.000810691,25029.3
1,768,589824,0.17,0.00146351,57294.6
1,1024,1048576,0.17,0.00255751,101536
1,1280,1638400,0.17,0.00353762,160115
1,1536,2359296,0.17,0.00532733,231049
1,1792,3211264,0.17,0.00692702,314853
1,2048,4194304,0.17,0.00869198,410717
1,2304,5308416,0.17,0.0110564,520563
1,2560,6553600,0.17,0.0135555,641398
1,2816,7929856,0.17,0.0163303,776075
1,3072,9437184,0.17,0.0191756,925085
1,3328,11075584,0.17,0.0235884,1.08627e+06
1,3584,12845056,0.17,0.0263126,1.2583e+06
1,3840,14745600,0.17,0.0303689,1.44526e+06
1,4096,16777216,0.17,0.0337085,1.64605e+06
2,256,65536,0.17,0.000380539,6414.98
2,512,262144,0.17,0.000825283,25266
2,768,589824,0.17,0.00146847,57057.8
2,1024,1048576,0.17,0.00257133,102194
2,1280,1638400,0.17,0.00353647,158982
2,1536,2359296,0.17,0.0052075,229760
2,1792,3211264,0.17,0.00688006,314703
2,2048,4194304,0.17,0.00867066,410766
2,2304,5308416,0.17,0.0108653,520113
2,2560,6553600,0.17,0.0135978,643195
2,2816,7929856,0.17,0.0163822,778967
2,3072,9437184,0.17,0.0192256,926968
2,3328,11075584,0.17,0.0235265,1.08388e+06
2,3584,12845056,0.17,0.0265662,1.25649e+06
2,3840,14745600,0.17,0.0301331,1.44396e+06
2,4096,16777216,0.17,0.0335727,1.64433e+06
